,Date,Open,High,Low,Close,Volume
118,2022-04-29,1898.79,1935.31,1897.67,1902.66,252.39681592
119,2022-04-30,1903.86,1909.5,1896.72,1904.42,98.49029148
120,2022-05-01,1904.42,1907.98,1896.25,1903.29,110.17442302
121,2022-05-02,1903.29,1904.18,1863.0,1870.64,180.34175285
122,2022-05-03,1869.17,1877.44,1856.0,1868.33,196.40671216
123,2022-05-04,1868.5,1889.42,1863.28,1889.42,361.82230704
124,2022-05-05,1889.63,1906.19,1868.14,1877.82,213.52763109
125,2022-05-06,1876.74,1900.19,1868.2,1887.95,443.11812686
126,2022-05-07,1887.95,1900.19,1884.82,1889.88,166.04920935
127,2022-05-08,1889.88,1924.8,1874.4,1884.44,438.44804116
128,2022-05-09,1883.58,1884.04,1841.41,1853.67,379.15668027
129,2022-05-10,1852.93,1864.6,1823.68,1833.62,625.51967936
130,2022-05-11,1833.0,1914.52,1812.0,1864.22,1204.61086082
131,2022-05-12,1862.68,2793.49,1818.34,1839.82,3655.55156462
132,2022-05-13,1838.32,1849.88,1792.92,1808.0,863.77515084
133,2022-05-14,1808.51,1821.29,1803.83,1812.36,225.3234405
134,2022-05-15,1812.35,1816.96,1802.08,1811.89,123.11956087
135,2022-05-16,1809.99,1830.0,1791.0,1825.41,256.94437084
136,2022-05-17,1825.88,1842.11,1816.56,1820.02,257.90362285
137,2022-05-18,1820.39,1830.08,1807.96,1816.09,206.2408051
138,2022-05-19,1817.64,1942.33,1815.0,1852.02,725.06168827
139,2022-05-20,1852.04,1854.47,1835.98,1851.07,187.73608378
140,2022-05-21,1851.07,1865.75,1845.81,1854.72,118.82026811
141,2022-05-22,1855.82,1867.18,1832.55,1852.31,293.4140272
142,2022-05-23,1852.04,1888.46,1850.46,1853.1,257.84314696
143,2022-05-24,1855.44,1880.0,1851.16,1871.03,247.05277255
144,2022-05-25,1871.0,1874.1,1850.35,1858.01,120.8446403
145,2022-05-26,1856.99,1862.44,1838.43,1849.95,225.79807139
146,2022-05-27,1851.4,1889.0,1844.69,1851.89,347.1534338
147,2022-05-28,1852.0,1858.4,1849.0,1854.0,105.6082479
148,2022-05-29,1853.24,1857.49,1840.0,1847.73,202.17535578
149,2022-05-30,1848.0,1870.0,1837.65,1857.4,226.91804053
150,2022-05-31,1857.97,1859.25,1835.28,1836.87,159.64929906
151,2022-06-01,1835.61,1851.87,1828.36,1849.49,148.34967585
152,2022-06-02,1849.71,1871.25,1842.41,1870.81,146.84169954
153,2022-06-03,1870.94,1875.0,1851.87,1854.24,87.16757331
154,2022-06-04,1854.08,1866.2,1848.0,1860.14,102.69085544
155,2022-06-05,1859.8,1864.0,1852.26,1856.25,70.27001681
156,2022-06-06,1855.01,1862.41,1840.0,1843.83,164.14938884
157,2022-06-07,1843.8,1860.0,1834.97,1854.6,145.6213691
158,2022-06-08,1854.27,1860.03,1840.0,1853.83,238.73433319
159,2022-06-09,1853.83,1858.26,1838.0,1847.48,328.79332142
160,2022-06-10,1845.88,1875.0,1830.76,1872.2,203.44559998
161,2022-06-11,1871.7,1880.0,1856.84,1879.65,200.62981468
162,2022-06-12,1879.62,1890.95,1870.0,1880.83,222.11489337
163,2022-06-13,1881.9,1883.59,1825.0,1825.87,1072.68312501
164,2022-06-14,1826.03,1839.47,1800.0,1814.32,578.18953167
165,2022-06-15,1814.33,1847.47,1809.53,1838.95,483.56784303
166,2022-06-16,1838.87,1870.0,1821.0,1857.58,320.95025133
167,2022-06-17,1857.43,1859.09,1836.0,1840.58,279.8426655
168,2022-06-18,1840.31,1853.06,1821.1,1825.58,451.24950073
169,2022-06-19,1825.58,1870.0,1814.82,1842.24,312.0520492
170,2022-06-20,1841.35,1851.52,1836.0,1847.41,255.31780866
171,2022-06-21,1847.4,1848.0,1833.41,1835.45,96.21804831
172,2022-06-22,1835.33,1846.0,1826.88,1841.44,127.82809881
173,2022-06-23,1841.44,1845.74,1826.26,1828.27,198.67937532
174,2022-06-24,1828.2,1841.53,1820.0,1825.11,190.43486659
175,2022-06-25,1825.12,1829.13,1820.26,1822.98,90.81359304
176,2022-06-26,1820.67,1832.86,1820.1,1829.27,106.82968977
177,2022-06-27,1829.25,1840.26,1823.15,1828.97,121.54908309
178,2022-06-28,1828.19,1834.57,1819.97,1823.49,91.61953808
