,Date,Open,High,Low,Close,Volume
0,2022-01-01 00:00:00,1837.74,1840.0,1832.55,1835.11,2.97930171
1,2022-01-01 04:00:00,1835.29,1840.0,1831.27,1834.52,7.08850806
2,2022-01-01 08:00:00,1834.54,1842.71,1830.64,1835.04,12.14559015
3,2022-01-01 12:00:00,1835.04,1860.0,1835.04,1836.12,20.11202882
4,2022-01-01 16:00:00,1836.12,1843.68,1820.0,1843.45,20.61858256
5,2022-01-01 20:00:00,1843.42,1846.15,1834.59,1843.5,1.98173537
6,2022-01-02 00:00:00,1843.5,1845.13,1836.79,1836.81,0.50995034
7,2022-01-02 04:00:00,1843.16,1843.16,1831.26,1838.99,2.2504099
8,2022-01-02 08:00:00,1833.76,1838.99,1828.86,1830.68,9.96796798
9,2022-01-02 12:00:00,1830.68,1836.78,1830.67,1835.0,2.29232359
10,2022-01-02 16:00:00,1832.43,1838.48,1830.01,1835.78,2.83323238
11,2022-01-02 20:00:00,1835.83,1838.42,1831.72,1832.34,0.47505572
12,2022-01-03 00:00:00,1838.34,1845.66,1832.19,1832.92,11.3353429
13,2022-01-03 04:00:00,1832.92,1836.26,1814.59,1831.25,12.90582128
14,2022-01-03 08:00:00,1830.01,1837.44,1830.0,1830.09,10.65447329
15,2022-01-03 12:00:00,1830.01,1836.35,1805.0,1809.34,28.77180168
16,2022-01-03 16:00:00,1814.86,1814.86,1804.66,1806.48,4.82397009
17,2022-01-03 20:00:00,1805.55,1816.5,1803.83,1810.15,4.7644461
18,2022-01-04 00:00:00,1810.15,1816.5,1806.0,1812.0,1.83243153
19,2022-01-04 04:00:00,1813.73,1822.34,1807.53,1812.0,4.2485657
20,2022-01-04 08:00:00,1818.25,1818.3,1804.35,1810.09,8.0495553
21,2022-01-04 12:00:00,1811.9,1818.96,1793.76,1816.5,94.48917314
22,2022-01-04 16:00:00,1817.41,1820.0,1805.23,1815.0,7.25738863
23,2022-01-04 20:00:00,1817.85,1824.35,1814.2,1815.84,9.45599892
24,2022-01-05 00:00:00,1815.99,1821.08,1815.93,1817.21,0.93075683
25,2022-01-05 04:00:00,1821.04,1824.32,1816.91,1817.01,49.26874789
26,2022-01-05 08:00:00,1817.12,1831.88,1817.12,1821.14,7.24947815
27,2022-01-05 12:00:00,1821.15,1836.79,1820.56,1832.34,15.90837197
28,2022-01-05 16:00:00,1833.99,1835.0,1814.11,1820.98,43.83883051
29,2022-01-05 20:00:00,1814.09,1828.0,1813.28,1814.65,44.96717048
30,2022-01-06 00:00:00,1814.64,1835.42,1814.64,1820.0,26.604322
31,2022-01-06 04:00:00,1819.84,1821.31,1814.2,1814.2,5.79478359
32,2022-01-06 08:00:00,1814.23,1814.78,1800.01,1807.36,19.4260977
33,2022-01-06 12:00:00,1807.36,1807.39,1787.78,1793.71,26.39425151
34,2022-01-06 16:00:00,1793.7,1802.21,1788.71,1788.71,11.52369525
35,2022-01-06 20:00:00,1794.0,1800.0,1787.5,1794.0,30.95514202
36,2022-01-07 00:00:00,1794.66,1800.08,1790.0,1790.02,8.07539357
37,2022-01-07 04:00:00,1790.02,1799.0,1785.0,1790.17,19.6192356
38,2022-01-07 08:00:00,1790.18,1799.96,1786.53,1794.41,6.42314222
39,2022-01-07 12:00:00,1794.68,1802.78,1784.01,1794.02,31.16747639
40,2022-01-07 16:00:00,1799.98,1807.0,1788.21,1800.14,17.11343662
41,2022-01-07 20:00:00,1804.98,1808.27,1794.0,1802.53,12.66600088
42,2022-01-08 00:00:00,1802.94,1807.5,1797.51,1802.94,5.21871874
43,2022-01-08 04:00:00,1802.94,1802.99,1796.34,1802.99,3.09474458
44,2022-01-08 08:00:00,1803.0,1805.0,1794.17,1794.17,47.89329919
45,2022-01-08 12:00:00,1800.13,1800.26,1789.5,1797.34,18.00640378
46,2022-01-08 16:00:00,1792.9,1802.78,1791.95,1797.05,24.64402758
47,2022-01-08 20:00:00,1801.84,1803.76,1794.76,1798.52,8.79823147
48,2022-01-09 00:00:00,1798.52,1803.21,1794.33,1796.39,6.99294416
49,2022-01-09 04:00:00,1795.87,1802.79,1795.87,1801.12,0.56924433
50,2022-01-09 08:00:00,1797.04,1815.0,1796.55,1806.44,23.41007314
51,2022-01-09 12:00:00,1806.42,1806.43,1796.55,1797.66,5.3650068
52,2022-01-09 16:00:00,1798.63,1804.66,1791.14,1799.96,21.21128767
53,2022-01-09 20:00:00,1799.96,1802.0,1780.87,1798.0,44.80303341
54,2022-01-10 00:00:00,1794.21,1798.22,1792.26,1792.26,0.50136844
55,2022-01-10 04:00:00,1792.74,1798.18,1787.0,1794.72,6.78134226
56,2022-01-10 08:00:00,1794.73,1799.51,1791.77,1797.73,1.9196996
57,2022-01-10 12:00:00,1797.64,1799.52,1785.31,1796.98,14.10066084
58,2022-01-10 16:00:00,1796.86,1807.49,1778.89,1805.17,28.96232776
59,2022-01-10 20:00:00,1800.87,1807.5,1799.2,1807.27,3.37274834
60,2022-01-11 00:00:00,1807.39,1809.67,1801.92,1809.67,4.21238095
61,2022-01-11 04:00:00,1809.67,1810.51,1806.25,1810.51,0.43813196
62,2022-01-11 08:00:00,1810.51,1812.22,1805.61,1812.22,2.61233233
63,2022-01-11 12:00:00,1808.83,1813.28,1807.52,1813.28,3.56701322
64,2022-01-11 16:00:00,1809.98,1822.5,1809.98,1822.5,8.1583007
65,2022-01-11 20:00:00,1818.07,1824.35,1817.76,1823.6,2.55936541
66,2022-01-12 00:00:00,1824.35,1828.86,1823.57,1823.57,6.23998656
67,2022-01-12 04:00:00,1826.64,1828.5,1823.57,1823.57,26.21035662
68,2022-01-12 08:00:00,1823.57,1827.32,1820.34,1821.01,4.62518356
69,2022-01-12 12:00:00,1821.0,1830.6,1820.49,1824.69,7.73538482
70,2022-01-12 16:00:00,1825.83,1830.6,1824.01,1829.64,5.01513661
71,2022-01-12 20:00:00,1829.64,1834.48,1825.51,1834.47,6.86082154
72,2022-01-13 00:00:00,1834.47,1834.47,1829.0,1829.0,1.57389697
73,2022-01-13 04:00:00,1829.0,1834.48,1829.0,1834.41,1.74581243
74,2022-01-13 08:00:00,1834.41,1834.49,1823.12,1827.26,8.98618164
75,2022-01-13 12:00:00,1826.48,1835.42,1822.97,1822.97,10.07733367
76,2022-01-13 16:00:00,1822.97,1830.71,1821.01,1826.01,25.68876062
77,2022-01-13 20:00:00,1826.01,1830.7,1825.51,1825.53,0.91854509
78,2022-01-14 00:00:00,1829.1,1830.73,1825.51,1826.59,2.40514139
79,2022-01-14 04:00:00,1826.77,1830.8,1825.83,1828.64,4.12426415
80,2022-01-14 08:00:00,1830.77,1833.09,1827.0,1829.24,3.36458737
81,2022-01-14 12:00:00,1827.02,1835.42,1827.0,1829.99,7.56768733
82,2022-01-14 16:00:00,1833.27,1833.28,1823.13,1824.01,3.36801738
83,2022-01-14 20:00:00,1826.62,1832.15,1823.05,1826.46,1.44323247
84,2022-01-15 00:00:00,1823.06,1829.14,1818.67,1820.1,1.69168327
85,2022-01-15 04:00:00,1819.78,1825.42,1818.7,1825.33,2.98627888
86,2022-01-15 08:00:00,1825.33,1830.01,1824.82,1829.94,11.81869146
87,2022-01-15 12:00:00,1825.38,1832.15,1821.44,1832.15,5.04962793
88,2022-01-15 16:00:00,1828.01,1832.77,1825.5,1832.11,1.22414888
89,2022-01-15 20:00:00,1830.32,1831.28,1824.3,1824.3,0.92825119
90,2022-01-16 00:00:00,1824.3,1835.5,1820.76,1825.35,16.45485228
