Date,Open,High,Low,Close,Volume
2022-01-01,1837.74,1860.0,1820.0,1843.5,64.92574667
2022-01-02,1843.5,1845.13,1828.86,1832.34,18.32893991
2022-01-03,1838.34,1845.66,1803.83,1810.15,73.25585534
2022-01-04,1810.15,1824.35,1793.76,1815.84,125.33311322
2022-01-05,1815.99,1836.79,1813.28,1814.65,162.16335583
2022-01-06,1814.64,1835.42,1787.5,1794.0,120.69829207
2022-01-07,1794.66,1808.27,1784.01,1802.53,95.06468528
2022-01-08,1802.94,1807.5,1789.5,1798.52,107.65542534
2022-01-09,1798.52,1815.0,1780.87,1798.0,102.35158951
2022-01-10,1794.21,1807.5,1778.89,1807.27,55.63814724
2022-01-11,1807.39,1824.35,1801.92,1823.6,21.54752457
2022-01-12,1824.35,1834.48,1820.34,1834.47,56.68686971
2022-01-13,1834.47,1835.42,1821.01,1825.53,48.99053042
2022-01-14,1829.1,1835.42,1823.05,1826.46,22.27293009
2022-01-15,1823.06,1832.77,1818.67,1824.3,23.69868161
2022-01-16,1824.3,1835.5,1806.97,1827.03,83.26834959
2022-01-17,1826.9,1828.44,1812.12,1819.09,20.71922528
2022-01-18,1822.99,1825.49,1813.12,1825.31,44.27401352
2022-01-19,1819.3,1858.0,1815.62,1846.9,55.78362859
2022-01-20,1846.9,1861.55,1838.0,1846.24,83.83623422
2022-01-21,1841.17,1911.27,1803.11,1839.05,280.78960273
2022-01-22,1844.34,1857.56,1810.0,1844.8,210.55661285
2022-01-23,1844.81,1860.19,1835.42,1840.92,98.87964654
2022-01-24,1840.92,1861.03,1837.0,1854.4,175.22480745
2022-01-25,1852.5,1865.07,1842.57,1864.43,165.11061232
2022-01-26,1859.05,1868.63,1822.07,1848.4,188.53986062
2022-01-27,1848.4,1860.57,1799.09,1814.28,177.84858178
2022-01-28,1814.02,1823.6,1800.72,1804.01,204.3372745
2022-01-29,1804.01,1815.88,1797.0,1806.35,62.31626197
