Date,Open,High,Low,Close,Volume
2022-01-01 00:00:00,1837.74,1837.8,1832.55,1837.8,0.04217738
2022-01-01 00:30:00,1837.8,1837.8,1837.8,1837.8,0.3745
2022-01-01 01:00:00,1832.94,1840.0,1832.94,1840.0,2.51404825
2022-01-01 01:30:00,1840.0,1840.0,1834.75,1834.87,0.0361
2022-01-01 02:00:00,1840.0,1840.0,1834.85,1835.11,0.00453804
2022-01-01 02:30:00,1834.81,1834.81,1834.81,1834.81,0.0035
2022-01-01 03:00:00,1840.0,1840.0,1835.35,1835.35,0.00083804
2022-01-01 03:30:00,1839.99,1840.0,1835.11,1835.11,0.0036
2022-01-01 04:00:00,1835.29,1839.97,1835.01,1835.32,0.01433805
2022-01-01 04:30:00,1835.51,1835.51,1832.19,1832.19,1.264
2022-01-01 05:00:00,1831.36,1840.0,1831.36,1840.0,0.93203804
2022-01-01 05:30:00,1840.0,1840.0,1832.82,1839.99,3.5446
2022-01-01 06:00:00,1834.5,1839.99,1831.27,1831.27,0.90823853
2022-01-01 06:30:00,1831.27,1838.2,1831.27,1831.44,0.1775
2022-01-01 07:00:00,1831.31,1839.99,1831.31,1839.95,0.24259344
2022-01-01 07:30:00,1839.95,1839.95,1834.51,1834.52,0.0052
2022-01-01 08:00:00,1834.54,1840.0,1834.51,1840.0,0.39353804
2022-01-01 08:30:00,1840.0,1840.0,1839.96,1840.0,4.61534532
2022-01-01 09:00:00,1834.51,1840.0,1830.73,1830.73,3.36963871
2022-01-01 09:30:00,1834.16,1839.0,1830.64,1838.84,2.09262181
2022-01-01 10:00:00,1832.39,1839.0,1832.19,1832.37,0.27813835
2022-01-01 10:30:00,1834.01,1842.5,1832.19,1833.18,0.63671388
2022-01-01 11:00:00,1838.98,1842.71,1835.03,1841.38,0.75569404
2022-01-01 11:30:00,1841.37,1841.37,1835.04,1835.04,0.0039
2022-01-01 12:00:00,1835.04,1841.4,1835.04,1841.38,0.19823763
2022-01-01 12:30:00,1841.42,1844.82,1836.92,1836.92,0.62619805
2022-01-01 13:00:00,1843.28,1845.12,1836.94,1839.0,0.23701081
2022-01-01 13:30:00,1837.75,1843.45,1836.92,1836.92,0.0823
2022-01-01 14:00:00,1843.23,1843.5,1843.23,1843.47,0.09963702
2022-01-01 14:30:00,1837.75,1843.5,1837.75,1837.75,0.03734742
2022-01-01 15:00:00,1837.75,1860.0,1836.99,1836.99,18.55439789
